PALAVRA,SINÔNIMO,SIGNIFICADO,EXEMPLO,TIPO,DERIVADAS,CATEGORIA,IMAGEM
Gozar,"Desfrutar, Aproveitar, Zombar",Aproveitar algo com prazer ou desfrutar (Sentido Bom); também pode significar zombar de alguém (Sentido ruim).,"""Ela sabe como gozar os pequenos prazeres da vida."",
""Eles gozaram do erro do amigo.""",Verbo,"Gozado, Gozador",COMPORTAMENTOS,
Dócil,"Manso, obediente, gentil.","Animal fácil de lidar, obediente; Pessoa gentil.","""A criança era tão dócil e obedecia aos pais sem reclamar."", ""Ela é uma menina tão dócil, simpática.""",Adjetivo,Docilidade,COMPORTAMENTOS,
Iniquidade,"Maldade, injustiça, pecado.",Falta de justiça; Comportamento imoral.,"""A corrupção é uma iniquidade que deve ser combatida.""",Subs. Feminino,Iníquo,COMPORTAMENTOS,
Imparcial," Neutro, justo, equilibrado, balançeado",Capacidade de julgar ou agir sem favorecer nenhuma das partes envolvidas.,"""O mediador foi imparcial ao lidar com o conflito.""",Adjetivo,Imparcialidade,COMPORTAMENTOS,https://www.juridigital.com.br/wp-content/uploads/2023/03/simbolos-do-direito-a-venda-ou-cegueira-saiba-o-significado.jpg
Contrapor,"Opor-se, resistir, confrontar.",Colocar-se em oposição ou agir contra algo.,"""O político fez um discurso contrapondo-se a todos.""",Verbo,Contraposição,COMPORTAMENTOS,
Reto,"Justo, honesto, correto, decente, prudente",Pessoa de caráter íntegro e moral elevada.,"""Ele é conhecido como um homem reto, sempre fiel aos seus princípios.""",Adjetivo,Retidão,COMPORTAMENTOS,
íntegro,"Honesto, correto, ético, virtuoso",Pessoa ou coisa que não apresenta falhas morais; justo e honesto.,"""Seu caráter íntegro o tornou admirado por todos.""",Adjetivo,Integridade,COMPORTAMENTOS,
Hipócrita,"Falso, dissimulado, enganador, fingido, mentiroso","Pessoa que finge ser algo que não é, que finger ter sentimentos ou crenças que na verdade não possui.","""Não seja hipócrita ao julgar os outros por atitudes que você mesmo tem.""",Adjetivo,Hipocrisia,COMPORTAMENTOS,https://i0.wp.com/reporternordeste.com.br/wp-content/uploads/2017/05/falsidade-2-696x394.png?fit=673%2C381&ssl=1
Corrompido,"Desonesto, degradado, deteriorado, Estragado",Que perdeu a integridade moral; arruinado ou estragado; Que perdeu a boa virtude,"""O sistema estava completamente corrompido e precisava ser reformado.""",Adjetivo,,COMPORTAMENTOS,
Audácia,"Coragem, Ousadia, Valentia",Coragem para realizar algo ousado; atrevimento ou falta de respeito.,"""Ele teve a audácia de falar a verdade na frente de todos.""",Subs. Feminino,Audacioso(a),COMPORTAMENTOS,
Astuto," Sagaz, esperto, Inteligente","Inteligente ou esperto, geralmente com intuito estratégico ou ardiloso.","""Os astutos negociadores conseguiram um acordo vantajoso.""",Adjetivo,"Astúcia, Astuto(a)",COMPORTAMENTOS,
Detestável,"Desagradável, Insuportável, repulsivo","Que não se pode suportar; Desagradável; Que causa desconforto, incômodo; Que provoca sentimento de revolta.","""A atitude arrogante dele foi considerada detestável.""",Adjetivo,Peverso(a),COMPORTAMENTOS,
Perversidade,"Maldade, crueldade","Qualidade ou ato de ser cruel, maldoso ou moralmente corrupto; Atitude movida por maldade e indecência.","""A perversidade de suas ações chocou a todos.""; ""Ele agiu de forma perversa ao fazer aquela maldade""",Subs. Feminino,Perverso(a),COMPORTAMENTOS,
Transgressão,"Violação, Pecado"," Violação de uma regra, lei ou norma; Na religião: utilizado como sinônimo de pecado","""A transgressão das leis resultou em punição severa.""",Subs. Feminino,,COMPORTAMENTOS,
Espanto,"Medo, Terror, Susto",Medo intenso causado por algo ou alguém.,"""Era evidente o seu espanto ao ouvir os trovões.""",Subs. Masculino,"Espante, Espantado(a)",EMOÇÕES,https://www.olgatessari.com/wp-content/uploads/2019/12/como-enfrentar-o-medo.png
Descaso,"Desprezo, Indiferença, apatia"," Falta de atenção, empatia, cuidado ou respeito por algo ou alguém","""O descaso pelas necessidades da comunidade gerou revolta.""",Subs. Masculino,,EMOÇÕES,
Amedrontar,"Intimidar, Assustar, Apavorar",Ato de causar medo em alguém,"""Não permita que suas dúvidas o amedrontem diante de novos desafios"", ""A tempestade no meio da noite parecia amedrontar até os mais corajosos.""",Verbo,,EMOÇÕES,https://joaobidu.com.br/images/large/2018/04/01/Design-sem-nome-6-1.jpg
Apelar,"Pedir, Suplicar, Implorar","Ato de clamar, pedir por algo; Pedido urgente e sincero por algo; Recorrer a algo ou alguma coisa; Busca de auxílio, atenção ou solução.","""O advogado decidiu apelar ao tribunal superior para reverter a sentença."", ""Durante a reunião, ela precisou apelar à paciência dos colegas para resolver o conflito.""",Verbo,"Apelo, Apelação",EMOÇÕES,https://adriananunan.com.br/wp-content/uploads/2020/06/imagem-destacada-sabe-como-e-o-pedido-de-desculpas-perfeito.jpg
Anseio,Desejo,"Desejo ou expectativa sobre algo; Estado de preocupação ou sofrimento; aflição, angústia, ânsia","""Eu ansio pelo momento em que todos estarão juntos novamente.""",Subs. Masculino,,EMOÇÕES,
Cólera,"Raiva, ira, fúria",Sentimento de raiva intensa; doença infecciosa intestinal causada por bactèria.,"""A cólera dele foi visível quando soube da injustiça que havia ocorrido.""",Subs. Feminino,,EMOÇÕES,https://thaisquaranta.com.br/wp-content/uploads/2018/09/raiva-960x667.jpg
Resiliencia,"Força, resistência, superação.",Capacidade de se recuperar rapidamente de dificuldades ou adversidades.,"""A resiliência do time foi fundamental para a vitória no campeonato.""",Subs. Feminino,Resiliente,EMOÇÕES,https://pt.quizur.com/_image?href=https%3A%2F%2Fimg.quizur.com%2Ff%2Fimg5e9dd0c69445d9.66642570.jpg%3FlastEdited%3D1587400907&w=400&h=400&f=webp
Solidariedade," Empatia, apoio, fraternidade.","Sentimento de união e apoio mútuo, especialmente em tempos difíceis.","""A solidariedade da comunidade foi essencial para superar a crise.""",Subs. Feminino,Solidário,EMOÇÕES,https://scalabrinianos.com/wp-content/uploads/2023/03/solidariedade-scaled-1.jpg
Intolerância,"Preconceito, discriminação, intolerância.", Falta de aceitação ou respeito por opiniões ou comportamentos diferentes; Contràrio de tolerância,"""A intolerância religiosa tem gerado conflitos em diversas partes do mundo.""",Subs. Feminino,Intolerante,EMOÇÕES,https://www.odiariojornal.com.br/images/noticias/1510/48670d0cf79a87caa0c5d667dbad3b4a.jpg
Vaidoso,"Narcisista, presunçoso, exibido.",Pessoa excessivamente preocupada com sua aparência ou com a admiração dos outros.,"""Ele era tão vaidoso que não conseguia passar um dia sem olhar no espelho.""",Adjetivo,Vaidade,EMOÇÕES,https://diegoamaro.com/wp-content/uploads/2017/05/vaidade_post_diego.jpg
Tolerância,"Aceitação, paciência, compreensão.",Disposição para aceitar ideias ou comportamentos diferentes dos próprios.,"""A tolerância é essencial para a convivência em uma sociedade diversa.""",Subs. Feminino,Tolerante,EMOÇÕES,
Contentamento," Alegria, satisfação, prazer.",Estado de satisfação e felicidade.,"""Seu contentamento era evidente ao conquistar o objetivo tão desejado.""",Subs. Masculino,Contente,EMOÇÕES,https://www.psicologosberrini.com.br/wp-content/uploads/cropped-ser-plenamente-feliz-3-1024x576.jpg
Entusiasmo,"Empolgação, ânimo, euforia.",Sentimento de grande animação ou interesse por algo.,"""O entusiasmo da equipe era contagiante e motivador.""",Subs. Feminino,Entusiasta,EMOÇÕES,https://lh3.googleusercontent.com/proxy/67SXs6xYoU1bLY41DgM_L5hHkcs2Iv28LsBDvg7uxjtcvWoi78lIRsG6Yp0sHMVFbOO8WbEsqp5T8igZOFTlF1QY--bhZ6IC5Yb-a-l_B0jSW70dUIIG1NPQX3qntayKgn2Z2W2yFqsx
Tagarela,"Falador, Conversador","Pessoa que fala demais, que/quem fala muito por muito tempo","""Minha prima é tão tagarela que nunca para de falar.""",Adjetivo,,LINGUAGEM,https://conteudo.imguol.com.br/c/entretenimento/27/2022/05/07/jovem-entediada-conversa-dialogo-chato-entre-amigas-chata-chateada-emburrada-1651932767972_v2_900x506.jpg
Repreender,"Advertir, Corrigir, Censurar","Ato de advertir alguém, de corrigir um comportamento ou opinião; Admoestar (corrigir) alguém por um erro ou má conduta.","""A professora precisou repreender o aluno por falar durante a aula.""",Verbo,"Repreender, Repreensível",LINGUAGEM,https://media.istockphoto.com/id/1298873972/pt/foto/mother-is-scolding-her-child-girl.jpg?s=612x612&w=0&k=20&c=vRvxR7acIbqIXGQAhL5-CusNDqxBoYBkgzNTNaWwjAo=
Enredo,"História, trama, narrativa.",Conjunto de acontecimentos que formam a estrutura de uma narrativa.,"""O enredo do filme foi emocionante, cheio de reviravoltas inesperadas.""",Subs. Masculino,,LINGUAGEM,
Tolo,"Banalidade, futilidade, bobagen.","Algo com ausência de inteligência, de utilidade; Algo profundidade ou propósito, inútil","""Eles passaram horas em uma conversa tola sem chegar a nenhuma conclusão.""",Subs. Masculino,,LINGUAGEM,
Perspectiva,"Visão, ponto de vista, abordagem, visão",Ponto de vista ou maneira de ver algo,"""A perspectiva do autor sobre a política era clara em suas palavras.""",Subs. Feminino,,LINGUAGEM,
,,,,,,LINGUAGEM,
Prefácio," Introdução, prólogo, abertura.","Introdução ou texto inicial de um livro, geralmente escrito pelo autor ou por alguém convidado.","""O prefácio do livro explica as intenções do autor.""",Subs. Masculino,,LINGUAGEM,
Prólogo," Introdução, prefácio, preâmbulo
"," Parte inicial de uma obra, que introduz a história ou estabelece o contexto.","""O prólogo do livro introduz o que está por vir.""",Subs. Masculino,,LINGUAGEM,
Pseudônimo,"Nome artístico, codinome, apelido, Nome Fictício", Nome fictício usado por alguém para ocultar sua verdadeira identidade; (Alguns autores ou artistas usam para não revevlar sua identidade),"""O autor publicou o livro sob um pseudônimo para manter o anonimato.""",Subs. Masculino,,LINGUAGEM,
Perscrutar,"Investigar, sondar, explorar.",Examinar ou investigar algo minuciosamente.,"""O detetive perscrutou todos os detalhes do caso.""",Verbo,,LINGUAGEM,https://network.grupoabril.com.br/wp-content/uploads/sites/4/2018/02/detetive.jpg?quality=100&strip=info
Analogia,"Comparação, semelhança, paralelo.",Comparação entre duas coisas diferentes com base em uma semelhança.,"""A analogia entre o cérebro humano e um computador foi discutida em vários artigos.""",Subs. Feminino,"Análogo, Analógico",LINGUAGEM,https://www.notibras.com/site/wp-content/uploads/2016/12/como-reduzir-a-compara%C3%A7%C3%A3o-das-suas-solu%C3%A7%C3%B5es-com-outras-de-menor-valor1-1030x704.jpg
Denunciar,"Acusar, informar, relatar.","Fazer uma acusação pública, informar sobre algo errado ou ilegal.","""Ela decidiu denunciar o crime ao órgão competente.""",Verbo,,LINGUAGEM,https://advocaciareis.adv.br/wp-content/uploads/2022/06/criminal-1-1-680x563.png
Luxo,"Riqueza, ostentação, Grandiosidade","Condição de conforto e riqueza, muitas vezes exagerado.","""O hotel oferecia um ambiente de puro luxo e exclusividade.""",Subs. Masculino,Luxuoso(a),SOCIEDADE,https://www.quintoandar.com.br/guias/wp-content/uploads/2023/06/casa-de-luxo-7-1.jpg
Pacto,"Acordo, Tratado, Aliança, convenção.",Acordo ou compromisso formal entre duas ou mais pessoas.,"""Os países firmaram um pacto para proteger o meio ambiente.""",Subs. Masculino,,SOCIEDADE,"https://super.abril.com.br/wp-content/uploads/2018/03/ficar-de-mc3a3os-dadas-22sincroniza22-cc3a9rebro-e-reduz-a-percepc3a7c3a3o-da-dor.png?crop=1&resize=1080,565"
Opressão,Tirania,"Condição de dominação ou exploração, muitas vezes injusta ou cruel.","""A opressão dos trabalhadores resultou em um movimento por direitos.""
",Subs. Feminino,,SOCIEDADE,
Ancestral,,,,,,SOCIEDADE,
Disiparidade,"Desigualdade, Contraste, Diferença, Desproporção",,,Subs. Feminino,,SOCIEDADE,https://www.cnnbrasil.com.br/wp-content/uploads/sites/12/2021/06/36376_ED39F0C6984F6B11-3.jpg?w=1200&h=675&crop=1
Subsistencia,,,,,,,
Almejar,"Desejar, Aspirar, querer, sonhar.",Desejar intensamente algo.,"""Ela almeja alcançar o sucesso em sua carreira artística.""",,,COMPORTAMENTOS,
Cronologia,"Ordem, Sequência",,,,,LINGUAGEM,
Abolição,"Erradicação, eliminação, supressão.","Extinção ou anulação de uma prática, lei ou sistema; Fim de algo.","""A abolição da escravatura foi um marco na história.""",Subs. Feminino,,SOCIEDADE,
Percepção," Sensação, entendimento, discernimento.",Habilidade de compreender ou interpretar algo através dos sentidos ou da mente.,,,,SOCIEDADE,https://leouve.com.br/wp-content/uploads/2022/04/ponto-de-vista.png
Explorado,,,,,,,
Humorístico,Engraçado,Relacionado ao humor ou algo que provoca riso.,"""O tom humorístico do filme agradou muito ao público.""",,,LINGUAGEM,
Charge,"Cômico, engraçado, satírico.",Desenho ou ilustração humorística que expressa uma crítica ou opinião.,"""A charge publicada no jornal criticava a política atual.""",Subs. Feminino,,LINGUAGEM,
Assolar,,,,,,EMOÇÕES,
Enfatizar,"Ressaltar, Relevar, Destacar, Focar, Sobrepujar",Dar destaque ou importância a algo.,"""O professor enfatizou a importância de estudar todo dia.""",Verbo,,LINGUAGEM,
Improvável,"Difícil, Duvidoso, incerto",Algo que tem pouca chance de acontecer; Algo com falta de probablidade,"""É improvável que você passe na prova sem ter estudado.""",Adjetivo,,LINGUAGEM,
Inimaginável,"Inacreditável, incrível, Inconcebível, impensável","Algo que não pode ser imaginado, pensado.","""A destruição causada pelo furacão foi inimaginável.""",Adjetivo,,LINGUAGEM,
Irrelevante," Insignificante, trivial, descartável.",Algo sem importância ou valor em um contexto específico.,"""O comentário dele foi considerado irrelevante para a discussão.""
",Adjetivo,,LINGUAGEM,
Evidenciar,,,,,,,
Banalidade,,,,,,,
Fama,,,,,,SOCIEDADE,
Insensato,,,,,,,
Místico,"Enigmático, Espiritual, Sobrenatural","Algo relacionado ao ao sobrenatural ou à espiritualidade profunda, místico.",,Adjetivo,Misticismo,RELIGIÃO,
Doutrina,"Ideologia, Disciplina","Conjunto das ideias básicas de um sistema filosófico, político, religioso, econômico etc.",,Subs. Feminino,,RELIGIÃO,
Sondar,"Examinar, explorar, averiguar.",Investigar ou explorar algo de maneira cautelosa.,"""Ele começou a sondar a opinião dos colegas antes de propor a ideia.""",Verbo,,,
gentio," Pagão, infiel (uso histórico)."," Termo histórico para designar povos não cristãos, especialmente em contextos religiosos.","""Por meio de Cristo Jesus, os gentios foram abençoados com a mesma bênção de Abraão, para que recebêssemos, pela fé, o Espírito prometido."" (Gálatas 3:14 NVT)",Adjetivo,,RELIGIÃO,
Estímulo,"Incentivo, motivação, impulso.",Algo que motiva uma ação ou reação.,"""O prêmio foi um estímulo para que os alunos se esforçassem mais.""",,,,
Terapia,"Tratamento, cura, cuidado.","Tratamento voltado para a cura ou alívio de problemas físicos, emocionais ou psicológicos.","""Ela iniciou uma terapia para lidar com a ansiedade.""",Subs. Feminino,,,
Suspiro,,,,,,,
Manuscrito,"Documento, texto original, carta","Texto escrito à mão, geralmente antes da impressão.","""O manuscrito do autor foi encontrado anos depois de sua morte.""",Subs. Masculino,,LINGUAGEM,
Pertinente,,,,,,,
Rapaz,,,,,,,
Liturgia,,,,,,RELIGIÃO,
Razão,,,,,,,
Mito,,,,,,,
Genialidade,,,,,,,
Exótico,"Diferente, incomum, peculiar, Excêntrico","Algo incomum ou de origem estrangeira, que chama atenção pela sua peculiaridade, por ser diferente; Algo fora do comum; Excêntrico.","""A culinária do restaurante oferecia pratos exóticos e surpreendentes.""",Adjetivo,,EXPRESSÕES,
Canônico,,,,,,,
Sinceridade,,,,Subs. Feminino,,,
Ciúmes,"Inveja, Desconfiança, Insegurança, Aflição, Angústia", Sentimento de posse ou insegurança em relação a outra pessoa; Sentimento negativo provocado por receio ou suspeita de que a pessoa amada dedique seu interesse e/ou afeto a outrem.,"""O ciúme é aquela dor que dá quando percebemos que a pessoa amada pode estar mais feliz sem a gente""",Subs. Masculino,,EMOÇÕES,
Honestidade,,,,Subs. Feminino,,,
Desonestidade,,,,Subs. Feminino,,,
Extrovertido,,,,,Extroversão,COMPORTAMENTOS,https://dramichelleteixeira.com.br/wp-content/uploads/2023/10/AdobeStock_429172746-1-scaled.jpeg
Introvertido,Tímido,,,Adjetivo,Introversão,COMPORTAMENTOS,
Carismático,,,,Adjetivo,,,
Risonho,,,,Adjetivo,,,https://pdhpsicologia.com.br/wp-content/uploads/2016/12/Sorriso-e1483012718942.jpg
Assalariado,,,,,,,
Apropriar,,,,,,,
Estéril,,,,,,,
Corrupção,,,,,,,
Adultério,,,,,,,
Autonomia,,,,,,,
Frustrante,,,,,,,
Genuíno,,,,,,,
Adorno,,,,,,,
Fascinante,,,,,,,
Generosidade,,,,,,,
Persistência,,,,,,,
Dedicação,,,,,,,
Êxito,,,,,,,
Adversidade,,,,,,,
Ingênuo,,,,,,,
Serenidade,,,,,,,
Atribuir,,,,,,,
Insulto,,,,,,,
Graciosa,,,,,,,
Bela,,,,,,,
Insignificante,,,,,,,
Imprudente,,,,,,,
Hipótese,,,,,,,
Pacífico,,,,,,,
Feroz,"Corajoso, Valente",,,,,,
Influenciar,"Incentivar, Motivar, Inspirar, Induzir, Persuadir, Convencer",Ato de convencer alguém a fazer algo que não era de sua vontade; Motivar; Causar mudança de opinião ou crença,,Verbo,,COMPORTAMENTOS,
Bipolar,,,,,,,